group_id,annotation
group_0224,hypothetical protein
group_0225,DNA polymerase
group_0226,beta-lactamase
group_0227,membrane transporter
group_0228,virulence factor
group_0229,membrane transporter
group_0230,virulence factor
group_0231,virulence factor
group_0232,virulence factor
group_0233,hypothetical protein
group_0234,efflux pump
group_0235,flagellar protein
group_0236,DNA polymerase
group_0237,efflux pump
group_0238,hypothetical protein
group_0239,flagellar protein
group_0240,flagellar protein
group_0241,virulence factor
group_0242,efflux pump
group_0243,beta-lactamase
group_0244,efflux pump
group_0245,DNA polymerase
group_0246,hypothetical protein
group_0247,beta-lactamase
group_0248,hypothetical protein
group_0249,DNA polymerase
