gene_id,annotation
group_0005_genome_013_0,hypothetical protein
group_0005_genome_014_0,hypothetical protein
group_0005_genome_015_0,hypothetical protein
group_0005_genome_016_0,hypothetical protein
group_0005_genome_017_0,hypothetical protein
group_0005_genome_018_0,hypothetical protein
group_0005_genome_019_0,hypothetical protein
group_0005_genome_020_0,hypothetical protein
group_0005_genome_021_0,hypothetical protein
group_0005_genome_022_0,hypothetical protein
group_0005_genome_023_0,hypothetical protein
group_0005_genome_024_0,hypothetical protein
group_0005_genome_025_0,hypothetical protein
group_0005_genome_026_0,hypothetical protein
group_0005_genome_027_0,hypothetical protein
group_0005_genome_028_0,hypothetical protein
group_0005_genome_029_0,membrane protein
group_0005_genome_030_0,hypothetical protein
group_0006_genome_001_0,hypothetical protein
group_0006_genome_002_0,hypothetical protein
group_0006_genome_003_0,hypothetical protein
group_0006_genome_003_1,hypothetical protein
group_0006_genome_004_0,hypothetical protein
group_0006_genome_005_0,hypothetical protein
group_0006_genome_006_0,hypothetical protein
group_0006_genome_007_0,hypothetical protein
group_0006_genome_008_0,hypothetical protein
group_0006_genome_009_0,hypothetical protein
group_0006_genome_010_0,hypothetical protein
group_0006_genome_011_0,hypothetical protein
group_0006_genome_012_0,hypothetical protein
group_0006_genome_013_0,hypothetical protein
group_0006_genome_014_0,hypothetical protein
group_0006_genome_015_0,hypothetical protein
group_0006_genome_016_0,hypothetical protein
group_0006_genome_016_1,hypothetical protein
group_0006_genome_017_0,hypothetical protein
group_0006_genome_018_0,hypothetical protein
group_0006_genome_019_0,hypothetical protein
group_0006_genome_020_0,hypothetical protein
group_0006_genome_021_0,hypothetical protein
group_0006_genome_022_0,hypothetical protein
group_0006_genome_023_0,hypothetical protein
group_0006_genome_024_0,hypothetical protein
group_0006_genome_025_0,hypothetical protein
group_0006_genome_026_0,hypothetical protein
group_0006_genome_027_0,hypothetical protein
group_0006_genome_028_0,hypothetical protein
group_0006_genome_029_0,hypothetical protein
group_0006_genome_029_1,hypothetical protein
group_0006_genome_030_0,hypothetical protein
group_0007_genome_001_0,membrane transporter
group_0007_genome_002_0,membrane transporter
group_0007_genome_003_0,membrane transporter
group_0007_genome_004_0,unknown function
group_0007_genome_005_0,membrane protein
group_0007_genome_006_0,membrane transporter
group_0007_genome_007_0,membrane transporter
group_0007_genome_008_0,membrane transporter
group_0007_genome_008_1,membrane transporter
group_0007_genome_009_0,membrane transporter
group_0007_genome_010_0,membrane transporter
group_0007_genome_011_0,membrane transporter
group_0007_genome_012_0,membrane transporter
group_0007_genome_013_0,membrane transporter
group_0007_genome_014_0,membrane transporter
group_0007_genome_014_1,membrane transporter
group_0007_genome_015_0,membrane transporter
group_0007_genome_016_0,membrane transporter
group_0007_genome_017_0,hypothetical protein
group_0007_genome_018_0,membrane transporter
group_0007_genome_019_0,membrane transporter
group_0007_genome_020_0,membrane transporter
group_0007_genome_021_0,membrane transporter
group_0007_genome_022_0,membrane transporter
group_0007_genome_023_0,membrane transporter
group_0007_genome_024_0,membrane transporter
group_0007_genome_025_0,membrane transporter
group_0007_genome_026_0,membrane transporter
group_0007_genome_027_0,unknown function
group_0007_genome_028_0,membrane transporter
group_0007_genome_029_0,membrane transporter
group_0007_genome_030_0,membrane transporter
group_0008_genome_001_0,efflux pump
group_0008_genome_003_0,efflux pump
group_0008_genome_004_0,efflux pump
group_0008_genome_005_0,efflux pump
group_0008_genome_006_0,efflux pump
group_0008_genome_007_0,efflux pump
group_0008_genome_008_0,efflux pump
group_0008_genome_010_0,efflux pump
group_0008_genome_011_0,efflux pump
group_0008_genome_013_0,efflux pump
group_0008_genome_016_0,unknown function
group_0008_genome_019_0,efflux pump
group_0008_genome_020_0,efflux pump
group_0008_genome_027_0,efflux pump
group_0008_genome_028_0,efflux pump
group_0008_genome_029_0,efflux pump
group_0009_genome_001_0,hypothetical protein
group_0009_genome_002_0,hypothetical protein
group_0009_genome_003_0,hypothetical protein
group_0009_genome_004_0,hypothetical protein
group_0009_genome_005_0,membrane protein
group_0009_genome_005_1,hypothetical protein
group_0009_genome_006_0,hypothetical protein
group_0009_genome_007_0,hypothetical protein
group_0009_genome_008_0,hypothetical protein
group_0009_genome_009_0,hypothetical protein
group_0009_genome_010_0,hypothetical protein
group_0009_genome_010_1,hypothetical protein
group_0009_genome_011_0,hypothetical protein
group_0009_genome_012_0,hypothetical protein
group_0009_genome_013_0,hypothetical protein
group_0009_genome_014_0,hypothetical protein
group_0009_genome_015_0,unknown function
group_0009_genome_016_0,hypothetical protein
group_0009_genome_017_0,hypothetical protein
group_0009_genome_018_0,hypothetical protein
group_0009_genome_019_0,hypothetical protein
group_0009_genome_020_0,hypothetical protein
group_0009_genome_021_0,hypothetical protein
group_0009_genome_022_0,hypothetical protein
group_0009_genome_023_0,hypothetical protein
group_0009_genome_024_0,hypothetical protein
group_0009_genome_026_0,hypothetical protein
group_0009_genome_027_0,hypothetical protein
group_0009_genome_028_0,hypothetical protein
group_0009_genome_029_0,hypothetical protein
group_0009_genome_030_0,hypothetical protein
group_0010_genome_001_0,hypothetical protein
group_0010_genome_003_0,hypothetical protein
group_0010_genome_004_0,hypothetical protein
group_0010_genome_005_0,hypothetical protein
group_0010_genome_006_0,hypothetical protein
group_0010_genome_008_0,hypothetical protein
group_0010_genome_009_0,hypothetical protein
group_0010_genome_011_0,hypothetical protein
group_0010_genome_011_1,hypothetical protein
group_0010_genome_013_0,hypothetical protein
group_0010_genome_015_0,hypothetical protein
group_0010_genome_017_0,hypothetical protein
group_0010_genome_017_1,hypothetical protein
group_0010_genome_019_0,hypothetical protein
group_0010_genome_020_0,hypothetical protein
group_0010_genome_023_0,hypothetical protein
group_0010_genome_024_0,hypothetical protein
group_0010_genome_026_0,hypothetical protein
group_0010_genome_027_0,hypothetical protein
group_0010_genome_028_0,hypothetical protein
group_0010_genome_029_0,hypothetical protein
group_0010_genome_030_0,membrane protein
group_0011_genome_001_0,efflux pump
group_0011_genome_004_0,efflux pump
group_0011_genome_005_0,efflux pump
group_0011_genome_007_0,efflux pump
group_0011_genome_009_0,efflux pump
group_0011_genome_010_0,efflux pump
group_0011_genome_011_0,efflux pump
group_0011_genome_012_0,efflux pump
group_0011_genome_016_0,efflux pump
group_0011_genome_016_1,efflux pump
group_0011_genome_017_0,efflux pump
group_0011_genome_018_0,efflux pump
group_0011_genome_019_0,efflux pump
group_0011_genome_020_0,unknown function
group_0011_genome_021_0,efflux pump
group_0011_genome_023_0,efflux pump
group_0011_genome_025_0,efflux pump
group_0011_genome_026_0,efflux pump
group_0011_genome_027_0,efflux pump
group_0011_genome_029_0,efflux pump
group_0011_genome_030_0,hypothetical protein
group_0012_genome_001_0,virulence factor
group_0012_genome_002_0,membrane protein
group_0012_genome_003_0,virulence factor
group_0012_genome_004_0,virulence factor
group_0012_genome_005_0,virulence factor
group_0012_genome_006_0,virulence factor
group_0012_genome_007_0,virulence factor
group_0012_genome_008_0,virulence factor
group_0012_genome_009_0,virulence factor
group_0012_genome_010_0,virulence factor
group_0012_genome_011_0,virulence factor
group_0012_genome_012_0,virulence factor
group_0012_genome_013_0,virulence factor
group_0012_genome_014_0,virulence factor
group_0012_genome_015_0,virulence factor
group_0012_genome_016_0,virulence factor
group_0012_genome_017_0,virulence factor
group_0012_genome_018_0,virulence factor
group_0012_genome_019_0,virulence factor
group_0012_genome_020_0,virulence factor
group_0012_genome_021_0,hypothetical protein
group_0012_genome_022_0,virulence factor
group_0012_genome_023_0,hypothetical protein
group_0012_genome_024_0,hypothetical protein
group_0012_genome_025_0,virulence factor
group_0012_genome_026_0,virulence factor
group_0012_genome_027_0,virulence factor
group_0012_genome_028_0,virulence factor
group_0012_genome_029_0,virulence factor
group_0012_genome_030_0,unknown function
group_0013_genome_001_0,virulence factor
group_0013_genome_002_0,virulence factor
group_0013_genome_005_0,virulence factor
group_0013_genome_006_0,virulence factor
group_0013_genome_008_0,virulence factor
group_0013_genome_009_0,virulence factor
group_0013_genome_011_0,virulence factor
group_0013_genome_014_0,virulence factor
group_0013_genome_015_0,virulence factor
group_0013_genome_019_0,virulence factor
group_0013_genome_021_0,virulence factor
group_0013_genome_022_0,virulence factor
group_0013_genome_024_0,virulence factor
group_0013_genome_025_0,virulence factor
group_0013_genome_026_0,hypothetical protein
group_0013_genome_028_0,virulence factor
group_0013_genome_030_0,virulence factor
group_0014_genome_001_0,DNA polymerase
group_0014_genome_002_0,DNA polymerase
group_0014_genome_003_0,DNA polymerase
group_0014_genome_004_0,unknown function
group_0014_genome_005_0,DNA polymerase
group_0014_genome_006_0,DNA polymerase
group_0014_genome_007_0,DNA polymerase
group_0014_genome_008_0,DNA polymerase
group_0014_genome_009_0,DNA polymerase
group_0014_genome_010_0,DNA polymerase
group_0014_genome_011_0,DNA polymerase
group_0014_genome_012_0,DNA polymerase
group_0014_genome_013_0,DNA polymerase
group_0014_genome_014_0,DNA polymerase
group_0014_genome_015_0,DNA polymerase
group_0014_genome_016_0,DNA polymerase
group_0014_genome_017_0,DNA polymerase
group_0014_genome_018_0,hypothetical protein
group_0014_genome_020_0,unknown function
group_0014_genome_021_0,DNA polymerase
group_0014_genome_022_0,DNA polymerase
group_0014_genome_023_0,DNA polymerase
group_0014_genome_024_0,membrane protein
group_0014_genome_025_0,DNA polymerase
group_0014_genome_025_1,DNA polymerase
group_0014_genome_026_0,DNA polymerase
group_0014_genome_027_0,DNA polymerase
group_0014_genome_028_0,DNA polymerase
group_0014_genome_029_0,DNA polymerase
group_0014_genome_030_0,DNA polymerase
group_0015_genome_017_0,virulence factor
group_0015_genome_018_0,virulence factor
group_0016_genome_001_0,DNA polymerase
group_0016_genome_002_0,DNA polymerase
group_0016_genome_003_0,DNA polymerase
group_0016_genome_004_0,DNA polymerase
group_0016_genome_005_0,DNA polymerase
group_0016_genome_006_0,DNA polymerase
group_0016_genome_007_0,DNA polymerase
group_0016_genome_008_0,membrane protein
group_0016_genome_009_0,membrane protein
group_0016_genome_010_0,DNA polymerase
group_0016_genome_011_0,DNA polymerase
group_0016_genome_012_0,DNA polymerase
group_0016_genome_012_1,membrane protein
group_0016_genome_013_0,DNA polymerase
group_0016_genome_015_0,unknown function
group_0016_genome_016_0,hypothetical protein
group_0016_genome_017_0,DNA polymerase
group_0016_genome_018_0,DNA polymerase
group_0016_genome_019_0,unknown function
group_0016_genome_020_0,DNA polymerase
group_0016_genome_021_0,DNA polymerase
group_0016_genome_022_0,DNA polymerase
group_0016_genome_023_0,DNA polymerase
group_0016_genome_024_0,DNA polymerase
group_0016_genome_025_0,DNA polymerase
group_0016_genome_026_0,DNA polymerase
group_0016_genome_027_0,DNA polymerase
group_0016_genome_028_0,DNA polymerase
group_0016_genome_029_0,DNA polymerase
group_0016_genome_030_0,unknown function
group_0017_genome_005_0,hypothetical protein
group_0018_genome_001_0,DNA polymerase
group_0018_genome_002_0,DNA polymerase
group_0018_genome_003_0,DNA polymerase
group_0018_genome_004_0,unknown function
group_0018_genome_005_0,DNA polymerase
group_0018_genome_007_0,DNA polymerase
group_0018_genome_014_0,DNA polymerase
group_0018_genome_015_0,unknown function
group_0018_genome_016_0,DNA polymerase
group_0018_genome_018_0,DNA polymerase
group_0018_genome_020_0,DNA polymerase
group_0018_genome_024_0,DNA polymerase
group_0018_genome_027_0,DNA polymerase
group_0018_genome_030_0,hypothetical protein
group_0019_genome_002_0,flagellar protein
group_0019_genome_004_0,flagellar protein
group_0019_genome_007_0,flagellar protein
group_0019_genome_008_0,flagellar protein
group_0019_genome_009_0,hypothetical protein
group_0019_genome_011_0,flagellar protein
group_0019_genome_011_1,flagellar protein
group_0019_genome_012_0,flagellar protein
group_0019_genome_013_0,hypothetical protein
group_0019_genome_014_0,flagellar protein
group_0019_genome_015_0,flagellar protein
group_0019_genome_016_0,flagellar protein
group_0019_genome_021_0,flagellar protein
group_0019_genome_022_0,unknown function
group_0019_genome_024_0,flagellar protein
group_0019_genome_026_0,flagellar protein
group_0019_genome_027_0,flagellar protein
group_0019_genome_028_0,flagellar protein
group_0019_genome_029_0,flagellar protein
group_0019_genome_030_0,flagellar protein
group_0020_genome_001_0,DNA polymerase
group_0020_genome_002_0,DNA polymerase
group_0020_genome_003_0,DNA polymerase
group_0020_genome_004_0,unknown function
group_0020_genome_005_0,DNA polymerase
group_0020_genome_006_0,unknown function
group_0020_genome_007_0,DNA polymerase
group_0020_genome_008_0,hypothetical protein
group_0020_genome_009_0,DNA polymerase
group_0020_genome_010_0,DNA polymerase
group_0020_genome_011_0,DNA polymerase
group_0020_genome_012_0,DNA polymerase
group_0020_genome_013_0,membrane protein
group_0020_genome_014_0,membrane protein
group_0020_genome_015_0,DNA polymerase
group_0020_genome_016_0,hypothetical protein
group_0020_genome_017_0,DNA polymerase
group_0020_genome_018_0,DNA polymerase
group_0020_genome_019_0,DNA polymerase
group_0020_genome_020_0,DNA polymerase
group_0020_genome_021_0,DNA polymerase
group_0020_genome_022_0,unknown function
group_0020_genome_023_0,DNA polymerase
group_0020_genome_024_0,DNA polymerase
group_0020_genome_025_0,DNA polymerase
group_0020_genome_026_0,membrane protein
group_0020_genome_027_0,unknown function
group_0020_genome_027_1,DNA polymerase
group_0020_genome_028_0,DNA polymerase
group_0020_genome_029_0,DNA polymerase
group_0020_genome_030_0,DNA polymerase
group_0021_genome_001_0,membrane transporter
group_0021_genome_002_0,membrane transporter
group_0021_genome_003_0,membrane transporter
group_0021_genome_004_0,unknown function
group_0021_genome_005_0,membrane transporter
group_0021_genome_006_0,membrane transporter
group_0021_genome_007_0,membrane transporter
group_0021_genome_008_0,membrane transporter
group_0021_genome_009_0,membrane transporter
group_0021_genome_010_0,membrane protein
group_0021_genome_011_0,membrane transporter
group_0021_genome_012_0,membrane transporter
group_0021_genome_013_0,membrane transporter
group_0021_genome_014_0,hypothetical protein
group_0021_genome_015_0,membrane transporter
group_0021_genome_016_0,membrane transporter
group_0021_genome_017_0,membrane transporter
group_0021_genome_018_0,membrane transporter
group_0021_genome_019_0,membrane transporter
group_0021_genome_020_0,membrane transporter
group_0021_genome_021_0,membrane protein
group_0021_genome_022_0,membrane protein
group_0021_genome_023_0,membrane transporter
group_0021_genome_024_0,hypothetical protein
group_0021_genome_025_0,membrane transporter
group_0021_genome_026_0,membrane transporter
group_0021_genome_027_0,membrane transporter
group_0021_genome_028_0,membrane transporter
group_0021_genome_029_0,membrane transporter
group_0021_genome_030_0,membrane transporter
group_0022_genome_001_0,membrane transporter
group_0022_genome_002_0,membrane transporter
group_0022_genome_003_0,membrane transporter
group_0022_genome_004_0,membrane transporter
group_0022_genome_005_0,hypothetical protein
group_0022_genome_006_0,unknown function
group_0022_genome_007_0,membrane transporter
group_0022_genome_008_0,membrane transporter
group_0022_genome_009_0,membrane transporter
group_0022_genome_010_0,membrane transporter
group_0022_genome_011_0,membrane transporter
group_0022_genome_012_0,membrane transporter
group_0022_genome_013_0,membrane transporter
group_0022_genome_014_0,membrane transporter
group_0022_genome_015_0,membrane transporter
group_0022_genome_016_0,membrane transporter
group_0022_genome_017_0,membrane transporter
group_0022_genome_018_0,membrane transporter
group_0022_genome_020_0,membrane transporter
group_0022_genome_021_0,membrane transporter
group_0022_genome_022_0,membrane transporter
group_0022_genome_023_0,unknown function
group_0022_genome_024_0,membrane transporter
group_0022_genome_025_0,membrane transporter
group_0022_genome_026_0,membrane protein
group_0022_genome_027_0,membrane transporter
group_0022_genome_028_0,membrane transporter
group_0022_genome_029_0,membrane transporter
group_0022_genome_030_0,membrane transporter
group_0023_genome_001_0,beta-lactamase
group_0023_genome_002_0,beta-lactamase
group_0023_genome_003_0,beta-lactamase
group_0023_genome_004_0,beta-lactamase
group_0023_genome_005_0,beta-lactamase
group_0023_genome_006_0,beta-lactamase
group_0023_genome_007_0,beta-lactamase
group_0023_genome_008_0,beta-lactamase
group_0023_genome_009_0,beta-lactamase
group_0023_genome_010_0,unknown function
group_0023_genome_011_0,beta-lactamase
group_0023_genome_012_0,beta-lactamase
group_0023_genome_013_0,beta-lactamase
group_0023_genome_014_0,beta-lactamase
group_0023_genome_015_0,beta-lactamase
group_0023_genome_016_0,beta-lactamase
group_0023_genome_017_0,beta-lactamase
group_0023_genome_018_0,beta-lactamase
group_0023_genome_019_0,hypothetical protein
group_0023_genome_020_0,beta-lactamase
group_0023_genome_021_0,beta-lactamase
group_0023_genome_022_0,beta-lactamase
group_0023_genome_023_0,beta-lactamase
group_0023_genome_024_0,beta-lactamase
group_0023_genome_025_0,beta-lactamase
group_0023_genome_026_0,beta-lactamase
group_0023_genome_027_0,membrane protein
group_0023_genome_028_0,beta-lactamase
group_0023_genome_029_0,beta-lactamase
group_0023_genome_030_0,beta-lactamase
group_0024_genome_001_0,efflux pump
group_0024_genome_002_0,efflux pump
group_0024_genome_003_0,efflux pump
group_0024_genome_004_0,efflux pump
group_0024_genome_005_0,efflux pump
group_0024_genome_006_0,efflux pump
group_0024_genome_007_0,efflux pump
group_0024_genome_008_0,efflux pump
group_0024_genome_009_0,efflux pump
group_0024_genome_010_0,hypothetical protein
group_0024_genome_011_0,efflux pump
group_0024_genome_012_0,efflux pump
group_0024_genome_013_0,efflux pump
group_0024_genome_014_0,efflux pump
group_0024_genome_015_0,efflux pump
group_0024_genome_016_0,efflux pump
group_0024_genome_017_0,membrane protein
group_0024_genome_018_0,efflux pump
group_0024_genome_019_0,efflux pump
group_0024_genome_020_0,efflux pump
group_0024_genome_021_0,efflux pump
group_0024_genome_022_0,membrane protein
group_0024_genome_023_0,efflux pump
group_0024_genome_024_0,efflux pump
group_0024_genome_025_0,efflux pump
group_0024_genome_026_0,efflux pump
group_0024_genome_027_0,efflux pump
group_0024_genome_028_0,efflux pump
group_0024_genome_029_0,efflux pump
group_0024_genome_030_0,efflux pump
group_0025_genome_001_0,efflux pump
group_0025_genome_002_0,unknown function
group_0025_genome_003_0,efflux pump
group_0025_genome_004_0,efflux pump
group_0025_genome_005_0,efflux pump
group_0025_genome_006_0,hypothetical protein
group_0025_genome_007_0,hypothetical protein
group_0025_genome_008_0,efflux pump
group_0025_genome_009_0,efflux pump
group_0025_genome_010_0,efflux pump
group_0025_genome_011_0,efflux pump
group_0025_genome_012_0,membrane protein
group_0025_genome_013_0,efflux pump
group_0025_genome_014_0,efflux pump
group_0025_genome_015_0,efflux pump
group_0025_genome_015_1,membrane protein
group_0025_genome_016_0,efflux pump
group_0025_genome_017_0,efflux pump
group_0025_genome_018_0,efflux pump
group_0025_genome_019_0,efflux pump
group_0025_genome_020_0,efflux pump
group_0025_genome_021_0,membrane protein
group_0025_genome_022_0,efflux pump
group_0025_genome_023_0,efflux pump
group_0025_genome_024_0,efflux pump
group_0025_genome_026_0,efflux pump
group_0025_genome_026_1,efflux pump
group_0025_genome_027_0,efflux pump
group_0025_genome_028_0,efflux pump
group_0025_genome_029_0,membrane protein
group_0025_genome_030_0,efflux pump
group_0026_genome_007_0,membrane transporter
group_0026_genome_010_0,membrane protein
group_0026_genome_011_0,membrane transporter
group_0027_genome_002_0,DNA polymerase
group_0027_genome_013_0,hypothetical protein
group_0027_genome_019_0,DNA polymerase
group_0027_genome_027_0,DNA polymerase
group_0028_genome_003_0,beta-lactamase
group_0028_genome_004_0,membrane protein
group_0028_genome_005_0,beta-lactamase
group_0028_genome_006_0,beta-lactamase
group_0028_genome_008_0,beta-lactamase
group_0028_genome_009_0,membrane protein
group_0028_genome_010_0,beta-lactamase
group_0028_genome_012_0,beta-lactamase
group_0028_genome_013_0,beta-lactamase
group_0028_genome_015_0,beta-lactamase
group_0028_genome_016_0,beta-lactamase
group_0028_genome_019_0,beta-lactamase
group_0028_genome_020_0,beta-lactamase
group_0028_genome_027_0,beta-lactamase
group_0028_genome_028_0,beta-lactamase
group_0028_genome_030_0,beta-lactamase
group_0029_genome_002_0,membrane transporter
group_0029_genome_003_0,membrane transporter
group_0029_genome_004_0,membrane transporter
group_0029_genome_005_0,membrane transporter
group_0029_genome_006_0,membrane transporter
group_0029_genome_007_0,membrane transporter
group_0029_genome_008_0,membrane transporter
group_0029_genome_009_0,membrane protein
group_0029_genome_010_0,hypothetical protein
group_0029_genome_011_0,membrane transporter
group_0029_genome_012_0,hypothetical protein
group_0029_genome_013_0,membrane transporter
group_0029_genome_014_0,membrane transporter
group_0029_genome_015_0,membrane transporter
group_0029_genome_016_0,membrane transporter
group_0029_genome_017_0,membrane transporter
group_0029_genome_018_0,hypothetical protein
group_0029_genome_019_0,membrane transporter
group_0029_genome_020_0,membrane transporter
group_0029_genome_021_0,membrane transporter
group_0029_genome_022_0,membrane transporter
group_0029_genome_023_0,membrane transporter
group_0029_genome_024_0,unknown function
group_0029_genome_025_0,membrane transporter
group_0029_genome_026_0,membrane transporter
group_0029_genome_027_0,membrane transporter
group_0029_genome_028_0,membrane transporter
group_0029_genome_029_0,hypothetical protein
group_0029_genome_030_0,membrane transporter
group_0030_genome_001_0,DNA polymerase
group_0030_genome_002_0,DNA polymerase
group_0030_genome_003_0,hypothetical protein
group_0030_genome_004_0,DNA polymerase
group_0030_genome_005_0,DNA polymerase
group_0030_genome_006_0,DNA polymerase
group_0030_genome_007_0,DNA polymerase
group_0030_genome_008_0,unknown function
group_0030_genome_009_0,DNA polymerase
group_0030_genome_010_0,DNA polymerase
group_0030_genome_011_0,DNA polymerase
group_0030_genome_012_0,DNA polymerase
group_0030_genome_013_0,DNA polymerase
group_0030_genome_014_0,DNA polymerase
group_0030_genome_015_0,membrane protein
group_0030_genome_016_0,DNA polymerase
group_0030_genome_017_0,DNA polymerase
group_0030_genome_018_0,DNA polymerase
group_0030_genome_019_0,DNA polymerase
group_0030_genome_020_0,DNA polymerase
group_0030_genome_021_0,DNA polymerase
group_0030_genome_022_0,hypothetical protein
group_0030_genome_023_0,DNA polymerase
group_0030_genome_024_0,DNA polymerase
group_0030_genome_025_0,DNA polymerase
group_0030_genome_026_0,DNA polymerase
group_0030_genome_027_0,DNA polymerase
group_0030_genome_028_0,DNA polymerase
group_0030_genome_029_0,DNA polymerase
group_0030_genome_030_0,DNA polymerase
group_0031_genome_012_0,DNA polymerase
group_0031_genome_030_0,DNA polymerase
group_0032_genome_005_0,unknown function
group_0032_genome_018_0,efflux pump
group_0032_genome_020_0,efflux pump
group_0032_genome_028_0,efflux pump
group_0033_genome_001_0,hypothetical protein
group_0033_genome_003_0,unknown function
group_0033_genome_009_0,hypothetical protein
group_0033_genome_010_0,hypothetical protein
group_0033_genome_012_0,hypothetical protein
group_0033_genome_013_0,hypothetical protein
group_0033_genome_014_0,hypothetical protein
group_0033_genome_017_0,hypothetical protein
group_0033_genome_019_0,hypothetical protein
group_0033_genome_023_0,hypothetical protein
group_0033_genome_025_0,hypothetical protein
group_0033_genome_026_0,hypothetical protein
group_0033_genome_027_0,hypothetical protein
group_0033_genome_030_0,hypothetical protein
