Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,genome_001,genome_002,genome_003,genome_004,genome_005,genome_006,genome_007,genome_008,genome_009,genome_010,genome_011,genome_012,genome_013,genome_014,genome_015,genome_016,genome_017,genome_018,genome_019,genome_020,genome_021,genome_022,genome_023,genome_024,genome_025,genome_026,genome_027,genome_028,genome_029,genome_030
group_0010,group_0010,,,,,,,,,,,,,group_0010_genome_001_0,,group_0010_genome_003_0,group_0010_genome_004_0,group_0010_genome_005_0,group_0010_genome_006_0,,group_0010_genome_008_0,group_0010_genome_009_0,,group_0010_genome_011_0;group_0010_genome_011_1,,group_0010_genome_013_0,,group_0010_genome_015_0,,group_0010_genome_017_0;group_0010_genome_017_1,,group_0010_genome_019_0,group_0010_genome_020_0,,,group_0010_genome_023_0,group_0010_genome_024_0,,group_0010_genome_026_0,group_0010_genome_027_0,group_0010_genome_028_0,group_0010_genome_029_0,group_0010_genome_030_0
group_0011,group_0011,efflux pump,,,,,,,,,,,,group_0011_genome_001_0,,,group_0011_genome_004_0,group_0011_genome_005_0,,group_0011_genome_007_0,,group_0011_genome_009_0,group_0011_genome_010_0,group_0011_genome_011_0,group_0011_genome_012_0,,,,group_0011_genome_016_0;group_0011_genome_016_1,group_0011_genome_017_0,group_0011_genome_018_0,group_0011_genome_019_0,group_0011_genome_020_0,group_0011_genome_021_0,,group_0011_genome_023_0,,group_0011_genome_025_0,group_0011_genome_026_0,group_0011_genome_027_0,,group_0011_genome_029_0,group_0011_genome_030_0
group_0012,group_0012,virulence factor,,,,,,,,,,,,group_0012_genome_001_0,group_0012_genome_002_0,group_0012_genome_003_0,group_0012_genome_004_0,group_0012_genome_005_0,group_0012_genome_006_0,group_0012_genome_007_0,group_0012_genome_008_0,group_0012_genome_009_0,group_0012_genome_010_0,group_0012_genome_011_0,group_0012_genome_012_0,group_0012_genome_013_0,group_0012_genome_014_0,group_0012_genome_015_0,group_0012_genome_016_0,group_0012_genome_017_0,group_0012_genome_018_0,group_0012_genome_019_0,group_0012_genome_020_0,group_0012_genome_021_0,group_0012_genome_022_0,group_0012_genome_023_0,group_0012_genome_024_0,group_0012_genome_025_0,group_0012_genome_026_0,group_0012_genome_027_0,group_0012_genome_028_0,group_0012_genome_029_0,group_0012_genome_030_0
group_0013,group_0013,virulence factor,,,,,,,,,,,,group_0013_genome_001_0,group_0013_genome_002_0,,,group_0013_genome_005_0,group_0013_genome_006_0,,group_0013_genome_008_0,group_0013_genome_009_0,,group_0013_genome_011_0,,,group_0013_genome_014_0,group_0013_genome_015_0,,,,group_0013_genome_019_0,,group_0013_genome_021_0,group_0013_genome_022_0,,group_0013_genome_024_0,group_0013_genome_025_0,group_0013_genome_026_0,,group_0013_genome_028_0,,group_0013_genome_030_0
group_0014,group_0014,DNA polymerase,,,,,,,,,,,,group_0014_genome_001_0,group_0014_genome_002_0,group_0014_genome_003_0,group_0014_genome_004_0,group_0014_genome_005_0,group_0014_genome_006_0,group_0014_genome_007_0,group_0014_genome_008_0,group_0014_genome_009_0,group_0014_genome_010_0,group_0014_genome_011_0,group_0014_genome_012_0,group_0014_genome_013_0,group_0014_genome_014_0,group_0014_genome_015_0,group_0014_genome_016_0,group_0014_genome_017_0,group_0014_genome_018_0,,group_0014_genome_020_0,group_0014_genome_021_0,group_0014_genome_022_0,group_0014_genome_023_0,group_0014_genome_024_0,group_0014_genome_025_0;group_0014_genome_025_1,group_0014_genome_026_0,group_0014_genome_027_0,group_0014_genome_028_0,group_0014_genome_029_0,group_0014_genome_030_0
group_0015,group_0015,virulence factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_0015_genome_017_0,group_0015_genome_018_0,,,,,,,,,,,,
group_0016,group_0016,DNA polymerase,,,,,,,,,,,,group_0016_genome_001_0,group_0016_genome_002_0,group_0016_genome_003_0,group_0016_genome_004_0,group_0016_genome_005_0,group_0016_genome_006_0,group_0016_genome_007_0,group_0016_genome_008_0,group_0016_genome_009_0,group_0016_genome_010_0,group_0016_genome_011_0,group_0016_genome_012_0;group_0016_genome_012_1,group_0016_genome_013_0,,group_0016_genome_015_0,group_0016_genome_016_0,group_0016_genome_017_0,group_0016_genome_018_0,group_0016_genome_019_0,group_0016_genome_020_0,group_0016_genome_021_0,group_0016_genome_022_0,group_0016_genome_023_0,group_0016_genome_024_0,group_0016_genome_025_0,group_0016_genome_026_0,group_0016_genome_027_0,group_0016_genome_028_0,group_0016_genome_029_0,group_0016_genome_030_0
group_0017,group_0017,,,,,,,,,,,,,,,,,group_0017_genome_005_0,,,,,,,,,,,,,,,,,,,,,,,,,
group_0018,group_0018,DNA polymerase,,,,,,,,,,,,group_0018_genome_001_0,group_0018_genome_002_0,group_0018_genome_003_0,group_0018_genome_004_0,group_0018_genome_005_0,,group_0018_genome_007_0,,,,,,,group_0018_genome_014_0,group_0018_genome_015_0,group_0018_genome_016_0,,group_0018_genome_018_0,,group_0018_genome_020_0,,,,group_0018_genome_024_0,,,group_0018_genome_027_0,,,group_0018_genome_030_0
group_0019,group_0019,flagellar protein,,,,,,,,,,,,,group_0019_genome_002_0,,group_0019_genome_004_0,,,group_0019_genome_007_0,group_0019_genome_008_0,group_0019_genome_009_0,,group_0019_genome_011_0;group_0019_genome_011_1,group_0019_genome_012_0,group_0019_genome_013_0,group_0019_genome_014_0,group_0019_genome_015_0,group_0019_genome_016_0,,,,,group_0019_genome_021_0,group_0019_genome_022_0,,group_0019_genome_024_0,,group_0019_genome_026_0,group_0019_genome_027_0,group_0019_genome_028_0,group_0019_genome_029_0,group_0019_genome_030_0
group_0020,group_0020,DNA polymerase,,,,,,,,,,,,group_0020_genome_001_0,group_0020_genome_002_0,group_0020_genome_003_0,group_0020_genome_004_0,group_0020_genome_005_0,group_0020_genome_006_0,group_0020_genome_007_0,group_0020_genome_008_0,group_0020_genome_009_0,group_0020_genome_010_0,group_0020_genome_011_0,group_0020_genome_012_0,group_0020_genome_013_0,group_0020_genome_014_0,group_0020_genome_015_0,group_0020_genome_016_0,group_0020_genome_017_0,group_0020_genome_018_0,group_0020_genome_019_0,group_0020_genome_020_0,group_0020_genome_021_0,group_0020_genome_022_0,group_0020_genome_023_0,group_0020_genome_024_0,group_0020_genome_025_0,group_0020_genome_026_0,group_0020_genome_027_0;group_0020_genome_027_1,group_0020_genome_028_0,group_0020_genome_029_0,group_0020_genome_030_0
group_0021,group_0021,membrane transporter,,,,,,,,,,,,group_0021_genome_001_0,group_0021_genome_002_0,group_0021_genome_003_0,group_0021_genome_004_0,group_0021_genome_005_0,group_0021_genome_006_0,group_0021_genome_007_0,group_0021_genome_008_0,group_0021_genome_009_0,group_0021_genome_010_0,group_0021_genome_011_0,group_0021_genome_012_0,group_0021_genome_013_0,group_0021_genome_014_0,group_0021_genome_015_0,group_0021_genome_016_0,group_0021_genome_017_0,group_0021_genome_018_0,group_0021_genome_019_0,group_0021_genome_020_0,group_0021_genome_021_0,group_0021_genome_022_0,group_0021_genome_023_0,group_0021_genome_024_0,group_0021_genome_025_0,group_0021_genome_026_0,group_0021_genome_027_0,group_0021_genome_028_0,group_0021_genome_029_0,group_0021_genome_030_0
group_0022,group_0022,membrane transporter,,,,,,,,,,,,group_0022_genome_001_0,group_0022_genome_002_0,group_0022_genome_003_0,group_0022_genome_004_0,group_0022_genome_005_0,group_0022_genome_006_0,group_0022_genome_007_0,group_0022_genome_008_0,group_0022_genome_009_0,group_0022_genome_010_0,group_0022_genome_011_0,group_0022_genome_012_0,group_0022_genome_013_0,group_0022_genome_014_0,group_0022_genome_015_0,group_0022_genome_016_0,group_0022_genome_017_0,group_0022_genome_018_0,,group_0022_genome_020_0,group_0022_genome_021_0,group_0022_genome_022_0,group_0022_genome_023_0,group_0022_genome_024_0,group_0022_genome_025_0,group_0022_genome_026_0,group_0022_genome_027_0,group_0022_genome_028_0,group_0022_genome_029_0,group_0022_genome_030_0
group_0023,group_0023,beta-lactamase,,,,,,,,,,,,group_0023_genome_001_0,group_0023_genome_002_0,group_0023_genome_003_0,group_0023_genome_004_0,group_0023_genome_005_0,group_0023_genome_006_0,group_0023_genome_007_0,group_0023_genome_008_0,group_0023_genome_009_0,group_0023_genome_010_0,group_0023_genome_011_0,group_0023_genome_012_0,group_0023_genome_013_0,group_0023_genome_014_0,group_0023_genome_015_0,group_0023_genome_016_0,group_0023_genome_017_0,group_0023_genome_018_0,group_0023_genome_019_0,group_0023_genome_020_0,group_0023_genome_021_0,group_0023_genome_022_0,group_0023_genome_023_0,group_0023_genome_024_0,group_0023_genome_025_0,group_0023_genome_026_0,group_0023_genome_027_0,group_0023_genome_028_0,group_0023_genome_029_0,group_0023_genome_030_0
group_0024,group_0024,efflux pump,,,,,,,,,,,,group_0024_genome_001_0,group_0024_genome_002_0,group_0024_genome_003_0,group_0024_genome_004_0,group_0024_genome_005_0,group_0024_genome_006_0,group_0024_genome_007_0,group_0024_genome_008_0,group_0024_genome_009_0,group_0024_genome_010_0,group_0024_genome_011_0,group_0024_genome_012_0,group_0024_genome_013_0,group_0024_genome_014_0,group_0024_genome_015_0,group_0024_genome_016_0,group_0024_genome_017_0,group_0024_genome_018_0,group_0024_genome_019_0,group_0024_genome_020_0,group_0024_genome_021_0,group_0024_genome_022_0,group_0024_genome_023_0,group_0024_genome_024_0,group_0024_genome_025_0,group_0024_genome_026_0,group_0024_genome_027_0,group_0024_genome_028_0,group_0024_genome_029_0,group_0024_genome_030_0
group_0025,group_0025,efflux pump,,,,,,,,,,,,group_0025_genome_001_0,group_0025_genome_002_0,group_0025_genome_003_0,group_0025_genome_004_0,group_0025_genome_005_0,group_0025_genome_006_0,group_0025_genome_007_0,group_0025_genome_008_0,group_0025_genome_009_0,group_0025_genome_010_0,group_0025_genome_011_0,group_0025_genome_012_0,group_0025_genome_013_0,group_0025_genome_014_0,group_0025_genome_015_0;group_0025_genome_015_1,group_0025_genome_016_0,group_0025_genome_017_0,group_0025_genome_018_0,group_0025_genome_019_0,group_0025_genome_020_0,group_0025_genome_021_0,group_0025_genome_022_0,group_0025_genome_023_0,group_0025_genome_024_0,,group_0025_genome_026_0;group_0025_genome_026_1,group_0025_genome_027_0,group_0025_genome_028_0,group_0025_genome_029_0,group_0025_genome_030_0
group_0026,group_0026,membrane transporter,,,,,,,,,,,,,,,,,,group_0026_genome_007_0,,,group_0026_genome_010_0,group_0026_genome_011_0,,,,,,,,,,,,,,,,,,,
group_0027,group_0027,DNA polymerase,,,,,,,,,,,,,group_0027_genome_002_0,,,,,,,,,,,group_0027_genome_013_0,,,,,,group_0027_genome_019_0,,,,,,,,group_0027_genome_027_0,,,
group_0028,group_0028,beta-lactamase,,,,,,,,,,,,,,group_0028_genome_003_0,group_0028_genome_004_0,group_0028_genome_005_0,group_0028_genome_006_0,,group_0028_genome_008_0,group_0028_genome_009_0,group_0028_genome_010_0,,group_0028_genome_012_0,group_0028_genome_013_0,,group_0028_genome_015_0,group_0028_genome_016_0,,,group_0028_genome_019_0,group_0028_genome_020_0,,,,,,,group_0028_genome_027_0,group_0028_genome_028_0,,group_0028_genome_030_0
group_0029,group_0029,membrane transporter,,,,,,,,,,,,,group_0029_genome_002_0,group_0029_genome_003_0,group_0029_genome_004_0,group_0029_genome_005_0,group_0029_genome_006_0,group_0029_genome_007_0,group_0029_genome_008_0,group_0029_genome_009_0,group_0029_genome_010_0,group_0029_genome_011_0,group_0029_genome_012_0,group_0029_genome_013_0,group_0029_genome_014_0,group_0029_genome_015_0,group_0029_genome_016_0,group_0029_genome_017_0,group_0029_genome_018_0,group_0029_genome_019_0,group_0029_genome_020_0,group_0029_genome_021_0,group_0029_genome_022_0,group_0029_genome_023_0,group_0029_genome_024_0,group_0029_genome_025_0,group_0029_genome_026_0,group_0029_genome_027_0,group_0029_genome_028_0,group_0029_genome_029_0,group_0029_genome_030_0
group_0030,group_0030,DNA polymerase,,,,,,,,,,,,group_0030_genome_001_0,group_0030_genome_002_0,group_0030_genome_003_0,group_0030_genome_004_0,group_0030_genome_005_0,group_0030_genome_006_0,group_0030_genome_007_0,group_0030_genome_008_0,group_0030_genome_009_0,group_0030_genome_010_0,group_0030_genome_011_0,group_0030_genome_012_0,group_0030_genome_013_0,group_0030_genome_014_0,group_0030_genome_015_0,group_0030_genome_016_0,group_0030_genome_017_0,group_0030_genome_018_0,group_0030_genome_019_0,group_0030_genome_020_0,group_0030_genome_021_0,group_0030_genome_022_0,group_0030_genome_023_0,group_0030_genome_024_0,group_0030_genome_025_0,group_0030_genome_026_0,group_0030_genome_027_0,group_0030_genome_028_0,group_0030_genome_029_0,group_0030_genome_030_0
group_0031,group_0031,DNA polymerase,,,,,,,,,,,,,,,,,,,,,,,group_0031_genome_012_0,,,,,,,,,,,,,,,,,,group_0031_genome_030_0
group_0032,group_0032,efflux pump,,,,,,,,,,,,,,,,group_0032_genome_005_0,,,,,,,,,,,,,group_0032_genome_018_0,,group_0032_genome_020_0,,,,,,,,group_0032_genome_028_0,,
group_0033,group_0033,,,,,,,,,,,,,group_0033_genome_001_0,,group_0033_genome_003_0,,,,,,group_0033_genome_009_0,group_0033_genome_010_0,,group_0033_genome_012_0,group_0033_genome_013_0,group_0033_genome_014_0,,,group_0033_genome_017_0,,group_0033_genome_019_0,,,,group_0033_genome_023_0,,group_0033_genome_025_0,group_0033_genome_026_0,group_0033_genome_027_0,,,group_0033_genome_030_0
group_0034,group_0034,flagellar protein,,,,,,,,,,,,group_0034_genome_001_0,group_0034_genome_002_0,group_0034_genome_003_0,group_0034_genome_004_0,group_0034_genome_005_0,group_0034_genome_006_0,group_0034_genome_007_0,group_0034_genome_008_0,group_0034_genome_009_0,group_0034_genome_010_0,group_0034_genome_011_0,group_0034_genome_012_0,group_0034_genome_013_0,group_0034_genome_014_0,group_0034_genome_015_0,,group_0034_genome_017_0,group_0034_genome_018_0,group_0034_genome_019_0,group_0034_genome_020_0,group_0034_genome_021_0,group_0034_genome_022_0,group_0034_genome_023_0,group_0034_genome_024_0,group_0034_genome_025_0,group_0034_genome_026_0,group_0034_genome_027_0,group_0034_genome_028_0,group_0034_genome_029_0,group_0034_genome_030_0
group_0035,group_0035,virulence factor,,,,,,,,,,,,,,,,,,,,,,,,,group_0035_genome_014_0,,group_0035_genome_016_0,,,,,,,,,,,,,,
group_0036,group_0036,membrane transporter,,,,,,,,,,,,group_0036_genome_001_0,group_0036_genome_002_0,group_0036_genome_003_0,group_0036_genome_004_0,group_0036_genome_005_0,group_0036_genome_006_0,group_0036_genome_007_0,group_0036_genome_008_0,group_0036_genome_009_0,group_0036_genome_010_0,group_0036_genome_011_0,group_0036_genome_012_0,group_0036_genome_013_0,group_0036_genome_014_0,group_0036_genome_015_0,group_0036_genome_016_0,group_0036_genome_017_0,group_0036_genome_018_0,group_0036_genome_019_0,group_0036_genome_020_0,,group_0036_genome_022_0,group_0036_genome_023_0,group_0036_genome_024_0,group_0036_genome_025_0,group_0036_genome_026_0,,group_0036_genome_028_0,group_0036_genome_029_0,group_0036_genome_030_0
group_0037,group_0037,hypothetical protein,,,,,,,,,,,,group_0037_genome_001_0,group_0037_genome_002_0,,group_0037_genome_004_0;group_0037_genome_004_1,group_0037_genome_005_0,,group_0037_genome_007_0,,group_0037_genome_009_0,group_0037_genome_010_0,,group_0037_genome_012_0,group_0037_genome_013_0,,group_0037_genome_015_0,group_0037_genome_016_0,group_0037_genome_017_0,group_0037_genome_018_0,group_0037_genome_019_0,group_0037_genome_020_0,group_0037_genome_021_0,group_0037_genome_022_0,,group_0037_genome_024_0,,group_0037_genome_026_0,group_0037_genome_027_0,group_0037_genome_028_0,group_0037_genome_029_0,
group_0038,group_0038,hypothetical protein,,,,,,,,,,,,group_0038_genome_001_0,,,,,group_0038_genome_006_0,group_0038_genome_007_0,,group_0038_genome_009_0,group_0038_genome_010_0,,,group_0038_genome_013_0,group_0038_genome_014_0,group_0038_genome_015_0,,,,group_0038_genome_019_0,group_0038_genome_020_0,,,,group_0038_genome_024_0,,group_0038_genome_026_0,,group_0038_genome_028_0,group_0038_genome_029_0,
group_0039,group_0039,efflux pump,,,,,,,,,,,,,,,,group_0039_genome_005_0,group_0039_genome_006_0,group_0039_genome_007_0,group_0039_genome_008_0,,group_0039_genome_010_0,,,group_0039_genome_013_0,group_0039_genome_014_0,,,group_0039_genome_017_0,group_0039_genome_018_0,group_0039_genome_019_0,group_0039_genome_020_0,group_0039_genome_021_0,,group_0039_genome_023_0,group_0039_genome_024_0,,group_0039_genome_026_0,group_0039_genome_027_0,group_0039_genome_028_0,,
group_0040,group_0040,beta-lactamase,,,,,,,,,,,,,group_0040_genome_002_0,group_0040_genome_003_0;group_0040_genome_003_1,group_0040_genome_004_0,group_0040_genome_005_0,group_0040_genome_006_0,group_0040_genome_007_0,,,,group_0040_genome_011_0,group_0040_genome_012_0;group_0040_genome_012_1,,group_0040_genome_014_0,group_0040_genome_015_0,group_0040_genome_016_0,group_0040_genome_017_0,group_0040_genome_018_0,,group_0040_genome_020_0,,group_0040_genome_022_0,group_0040_genome_023_0,,group_0040_genome_025_0,group_0040_genome_026_0,,group_0040_genome_028_0,group_0040_genome_029_0,
group_0041,group_0041,hypothetical protein,,,,,,,,,,,,group_0041_genome_001_0,group_0041_genome_002_0,,group_0041_genome_004_0,group_0041_genome_005_0,group_0041_genome_006_0,group_0041_genome_007_0,group_0041_genome_008_0,group_0041_genome_009_0,group_0041_genome_010_0,group_0041_genome_011_0,group_0041_genome_012_0,group_0041_genome_013_0,group_0041_genome_014_0,group_0041_genome_015_0,group_0041_genome_016_0,group_0041_genome_017_0,group_0041_genome_018_0,group_0041_genome_019_0,group_0041_genome_020_0,group_0041_genome_021_0,group_0041_genome_022_0,group_0041_genome_023_0,group_0041_genome_024_0,group_0041_genome_025_0,group_0041_genome_026_0,group_0041_genome_027_0,group_0041_genome_028_0,group_0041_genome_029_0,group_0041_genome_030_0
group_0042,group_0042,DNA polymerase,,,,,,,,,,,,group_0042_genome_001_0,group_0042_genome_002_0,group_0042_genome_003_0;group_0042_genome_003_1,group_0042_genome_004_0,group_0042_genome_005_0,group_0042_genome_006_0,group_0042_genome_007_0,group_0042_genome_008_0,group_0042_genome_009_0,group_0042_genome_010_0,group_0042_genome_011_0,group_0042_genome_012_0,group_0042_genome_013_0,group_0042_genome_014_0,group_0042_genome_015_0,group_0042_genome_016_0,group_0042_genome_017_0,group_0042_genome_018_0,group_0042_genome_019_0,group_0042_genome_020_0,group_0042_genome_021_0,group_0042_genome_022_0,group_0042_genome_023_0,group_0042_genome_024_0,group_0042_genome_025_0,group_0042_genome_026_0,,group_0042_genome_028_0,group_0042_genome_029_0,group_0042_genome_030_0
group_0043,group_0043,membrane transporter,,,,,,,,,,,,group_0043_genome_001_0,group_0043_genome_002_0,group_0043_genome_003_0,group_0043_genome_004_0,group_0043_genome_005_0,group_0043_genome_006_0,group_0043_genome_007_0,group_0043_genome_008_0,group_0043_genome_009_0,group_0043_genome_010_0,group_0043_genome_011_0,group_0043_genome_012_0,group_0043_genome_013_0,group_0043_genome_014_0,group_0043_genome_015_0,group_0043_genome_016_0,group_0043_genome_017_0,group_0043_genome_018_0,group_0043_genome_019_0,group_0043_genome_020_0,group_0043_genome_021_0,group_0043_genome_022_0,group_0043_genome_023_0,group_0043_genome_024_0,group_0043_genome_025_0,group_0043_genome_026_0,group_0043_genome_027_0;group_0043_genome_027_1,group_0043_genome_028_0,group_0043_genome_029_0,group_0043_genome_030_0
group_0044,group_0044,virulence factor,,,,,,,,,,,,group_0044_genome_001_0,group_0044_genome_002_0,group_0044_genome_003_0,group_0044_genome_004_0,group_0044_genome_005_0,group_0044_genome_006_0,group_0044_genome_007_0,group_0044_genome_008_0,group_0044_genome_009_0,group_0044_genome_010_0,group_0044_genome_011_0;group_0044_genome_011_1,group_0044_genome_012_0,group_0044_genome_013_0,group_0044_genome_014_0,group_0044_genome_015_0,group_0044_genome_016_0,group_0044_genome_017_0,group_0044_genome_018_0,group_0044_genome_019_0,group_0044_genome_020_0,group_0044_genome_021_0;group_0044_genome_021_1,group_0044_genome_022_0,group_0044_genome_023_0,group_0044_genome_024_0,group_0044_genome_025_0,group_0044_genome_026_0,group_0044_genome_027_0,group_0044_genome_028_0,group_0044_genome_029_0,group_0044_genome_030_0
